driver_age,vehicle_value,vehicle_age,annual_mileage,region,driving_experience,claim_count,claim_cost,pure_premium
29,27178.98,11,31055,north,11,0,0.0,0.0
48,21115.04,4,38883,west,30,0,0.0,0.0
36,17698.8,19,46877,central,18,0,0.0,0.0
31,28045.39,1,25196,west,13,1,318.57,318.57
61,18010.71,10,31492,west,43,0,0.0,0.0
56,15840.2,7,41270,east,38,0,0.0,0.0
41,22740.21,15,29417,south,23,1,394.75,394.75
32,14127.15,16,40573,west,14,0,0.0,0.0
41,18164.8,16,32817,south,23,0,0.0,0.0
22,32437.3,9,26374,south,4,1,408.36,408.36
62,4921.68,2,6585,west,44,0,0.0,0.0
30,9532.12,16,35760,central,12,1,571.11,571.11
38,19859.36,10,8524,central,20,0,0.0,0.0
44,22946.9,9,17239,central,26,1,656.98,656.98
70,8179.62,1,49957,north,52,0,0.0,0.0
49,24433.89,1,13530,central,31,0,0.0,0.0
50,11794.46,9,13768,east,32,0,0.0,0.0
63,11460.48,6,40073,north,45,1,220.44,220.44
39,20884.38,7,36212,north,21,2,1868.36,3736.72
47,7008.48,5,14118,east,29,0,0.0,0.0
38,11562.86,17,26416,north,20,0,0.0,0.0
40,14881.23,17,42293,east,22,0,0.0,0.0
46,9189.98,18,35025,central,28,0,0.0,0.0
37,20751.02,7,31481,south,19,0,0.0,0.0
44,19299.2,13,8466,central,26,0,0.0,0.0
43,8707.39,12,31712,east,25,0,0.0,0.0
45,25752.33,14,21921,west,27,0,0.0,0.0
34,21170.28,12,32976,east,16,0,0.0,0.0
31,20172.45,9,24179,south,13,0,0.0,0.0
32,19743.31,6,34998,central,14,0,0.0,0.0
25,9787.55,17,38485,east,7,1,188.96,188.96
41,21781.05,8,46961,west,23,0,0.0,0.0
37,8620.77,14,43254,east,19,0,0.0,0.0
31,26356.77,12,35057,central,13,1,799.8,799.8
32,5401.31,3,16696,central,14,0,0.0,0.0
38,22228.23,15,30328,central,20,0,0.0,0.0
47,23855.5,13,14765,east,29,0,0.0,0.0
31,31285.8,8,31260,east,13,0,0.0,0.0
42,30516.97,3,22267,east,24,0,0.0,0.0
46,21669.19,15,18563,west,28,0,0.0,0.0
40,27657.87,16,5945,east,22,0,0.0,0.0
52,31520.31,6,15062,east,34,0,0.0,0.0
63,22564.1,20,31259,central,45,1,827.0,827.0
25,20415.78,18,30300,north,7,0,0.0,0.0
65,23059.05,12,15233,east,47,0,0.0,0.0
34,15045.63,19,42952,north,16,0,0.0,0.0
43,26871.0,10,17080,west,25,0,0.0,0.0
26,20247.37,20,46915,east,8,0,0.0,0.0
33,29618.28,18,10746,west,15,1,582.27,582.27
53,22602.77,9,13181,central,35,1,467.11,467.11
51,32812.87,19,12064,central,33,0,0.0,0.0
42,56289.96,3,14037,west,24,0,0.0,0.0
29,5145.05,3,41798,east,11,0,0.0,0.0
46,12525.19,2,36620,south,28,0,0.0,0.0
71,13240.95,7,15608,north,53,0,0.0,0.0
39,25038.37,4,8446,east,21,0,0.0,0.0
42,24673.07,18,24795,east,24,0,0.0,0.0
57,11423.19,12,26770,east,39,1,1262.52,1262.52
29,10883.41,18,32646,west,11,0,0.0,0.0
63,21829.17,12,16310,east,45,0,0.0,0.0
39,16891.34,14,39668,south,21,0,0.0,0.0
22,47970.53,9,24244,west,4,1,532.77,532.77
43,11910.4,17,30559,north,25,0,0.0,0.0
52,6079.0,19,9056,east,34,0,0.0,0.0
49,9576.19,10,13591,north,31,0,0.0,0.0
68,21572.38,18,15226,central,50,0,0.0,0.0
59,20117.3,1,33670,east,41,1,45.46,45.46
52,47199.09,3,44272,central,34,0,0.0,0.0
46,45126.82,4,28198,south,28,0,0.0,0.0
32,8467.15,18,36791,central,14,0,0.0,0.0
54,36766.88,20,8881,north,36,0,0.0,0.0
53,13983.92,11,21248,west,35,0,0.0,0.0
32,17195.93,13,41729,east,14,1,959.04,959.04
22,20659.82,13,13385,west,4,1,1101.78,1101.78
51,21795.77,7,42107,north,33,0,0.0,0.0
43,16885.93,3,25289,south,25,0,0.0,0.0
58,13386.85,6,29119,south,40,0,0.0,0.0
64,18483.95,4,16013,central,46,0,0.0,0.0
37,33297.18,2,39860,central,19,0,0.0,0.0
34,17093.08,4,21691,central,16,0,0.0,0.0
35,7848.39,17,46775,central,17,0,0.0,0.0
51,25253.91,4,29433,south,33,0,0.0,0.0
40,21792.62,7,36176,central,22,0,0.0,0.0
30,40596.26,3,13772,south,12,0,0.0,0.0
31,14550.51,11,12563,central,13,0,0.0,0.0
29,7909.43,11,29773,central,11,1,215.6,215.6
65,15670.52,9,34357,east,47,0,0.0,0.0
68,8584.15,19,12254,west,50,0,0.0,0.0
35,18712.69,4,33408,east,17,0,0.0,0.0
53,23150.16,14,16957,east,35,0,0.0,0.0
29,34412.06,1,9712,south,11,0,0.0,0.0
45,21492.4,6,18973,east,27,0,0.0,0.0
51,28315.76,20,26267,south,33,1,709.47,709.47
56,26204.47,9,48220,south,38,0,0.0,0.0
45,9995.93,16,44905,east,27,0,0.0,0.0
33,51372.58,9,6940,south,15,0,0.0,0.0
60,12973.43,5,39647,south,42,2,1199.99,2399.98
28,6301.49,11,41314,south,10,1,52.63,52.63
49,21337.19,7,5219,central,31,0,0.0,0.0
72,16666.69,14,23209,west,54,0,0.0,0.0
34,15765.2,6,18998,east,16,0,0.0,0.0
50,20986.45,13,23066,west,32,0,0.0,0.0
45,19017.09,9,26283,south,27,1,410.46,410.46
51,13408.32,7,16319,east,33,0,0.0,0.0
48,23086.43,10,38186,south,30,0,0.0,0.0
52,21937.27,15,43111,south,34,0,0.0,0.0
43,20181.71,14,28692,north,25,0,0.0,0.0
47,31172.82,11,16887,south,29,0,0.0,0.0
56,31963.32,18,33120,south,38,1,1649.14,1649.14
72,9910.29,8,20773,central,54,1,1055.48,1055.48
51,11307.64,1,5361,east,33,0,0.0,0.0
36,21736.25,9,37025,west,18,0,0.0,0.0
41,22013.45,14,49677,south,23,1,1273.61,1273.61
47,24188.63,16,47609,north,29,0,0.0,0.0
40,20630.1,19,46654,central,22,0,0.0,0.0
26,16006.13,11,31987,central,8,0,0.0,0.0
38,25661.63,3,14299,south,20,0,0.0,0.0
39,50266.8,17,22713,south,21,0,0.0,0.0
30,22865.9,8,7325,north,12,0,0.0,0.0
34,25720.57,5,48823,central,16,0,0.0,0.0
20,15930.38,11,19890,north,2,1,149.34,149.34
38,11807.75,5,28768,south,20,0,0.0,0.0
43,9233.98,1,39113,central,25,0,0.0,0.0
35,12692.94,5,44744,west,17,0,0.0,0.0
39,19778.74,2,27359,south,21,0,0.0,0.0
71,13604.04,11,35002,central,53,1,69.32,69.32
49,19230.75,3,40929,central,31,0,0.0,0.0
44,12478.01,11,27384,north,26,0,0.0,0.0
46,25548.63,10,47209,central,28,1,674.06,674.06
40,22099.77,7,41928,north,22,1,632.05,632.05
39,15323.37,13,32678,west,21,0,0.0,0.0
36,14624.58,10,46496,south,18,0,0.0,0.0
31,19240.68,20,35301,south,13,0,0.0,0.0
56,20869.49,18,31883,south,38,0,0.0,0.0
30,17485.1,19,32952,south,12,1,148.2,148.2
50,14595.71,20,6430,south,32,0,0.0,0.0
21,33855.62,4,8190,central,3,0,0.0,0.0
36,11170.21,17,15793,north,18,0,0.0,0.0
46,9651.93,2,25818,south,28,1,393.6,393.6
51,37625.65,20,17853,central,33,0,0.0,0.0
27,7243.49,8,17717,central,9,0,0.0,0.0
38,24033.29,13,25361,north,20,0,0.0,0.0
54,34847.05,8,48094,east,36,1,2904.47,2904.47
27,22694.71,4,33209,west,9,0,0.0,0.0
30,24043.56,17,31513,north,12,0,0.0,0.0
33,23790.23,7,34904,east,15,0,0.0,0.0
48,33490.33,18,32448,west,30,0,0.0,0.0
45,27218.15,17,11764,west,27,0,0.0,0.0
46,18180.89,16,43660,south,28,0,0.0,0.0
28,17702.6,16,11999,north,10,0,0.0,0.0
24,21868.12,10,39384,east,6,0,0.0,0.0
65,36724.07,1,14216,north,47,0,0.0,0.0
33,8036.47,17,46518,north,15,0,0.0,0.0
24,9935.38,2,9681,south,6,0,0.0,0.0
35,18036.74,10,43110,west,17,0,0.0,0.0
51,41709.33,5,24634,north,33,1,1410.64,1410.64
58,18567.96,13,5291,east,40,0,0.0,0.0
58,17333.87,14,29810,south,40,0,0.0,0.0
30,13513.94,7,27763,central,12,0,0.0,0.0
52,11702.93,16,7565,north,34,0,0.0,0.0
25,21701.02,7,34484,west,7,0,0.0,0.0
24,30932.41,4,43647,west,6,0,0.0,0.0
47,50846.35,8,42195,central,29,0,0.0,0.0
44,12789.29,2,43228,west,26,0,0.0,0.0
60,14118.38,9,34075,south,42,1,1525.8,1525.8
28,17840.39,7,27143,west,10,0,0.0,0.0
63,15334.85,19,41910,west,45,0,0.0,0.0
54,19086.64,13,13360,west,36,0,0.0,0.0
55,6128.18,20,24433,east,37,0,0.0,0.0
28,26680.87,10,44803,north,10,0,0.0,0.0
52,4686.58,7,11798,west,34,0,0.0,0.0
60,21624.67,8,48387,west,42,1,436.01,436.01
35,28918.45,8,9485,west,17,0,0.0,0.0
67,20149.68,18,7881,west,49,0,0.0,0.0
29,23251.05,4,6352,south,11,0,0.0,0.0
28,7779.55,18,19181,east,10,0,0.0,0.0
30,14185.69,20,23421,west,12,1,1530.77,1530.77
24,11608.19,18,40347,north,6,0,0.0,0.0
61,50047.55,16,44975,west,43,1,388.63,388.63
25,39205.06,10,7934,south,7,0,0.0,0.0
33,13174.52,8,17942,east,15,0,0.0,0.0
28,12745.83,16,40815,south,10,1,1193.58,1193.58
59,18222.94,12,28272,west,41,0,0.0,0.0
49,21154.86,3,18684,north,31,0,0.0,0.0
32,29819.56,12,31129,east,14,0,0.0,0.0
33,14832.76,19,28808,east,15,0,0.0,0.0
58,10215.19,5,42104,west,40,0,0.0,0.0
41,16167.8,10,14460,north,23,0,0.0,0.0
35,30068.73,10,38988,east,17,0,0.0,0.0
65,6887.13,7,30463,central,47,0,0.0,0.0
23,17768.15,20,43435,north,5,1,600.63,600.63
26,9841.18,7,46088,east,8,1,1527.42,1527.42
29,19371.56,16,13324,north,11,0,0.0,0.0
31,14523.73,9,46447,south,13,0,0.0,0.0
32,22509.01,16,19101,south,14,0,0.0,0.0
39,30061.77,13,26011,central,21,0,0.0,0.0
56,29330.51,16,18727,central,38,0,0.0,0.0
45,16334.65,7,33112,central,27,0,0.0,0.0
25,23122.2,1,28859,east,7,0,0.0,0.0
42,18453.89,15,5767,south,24,0,0.0,0.0
28,13291.71,17,18084,east,10,0,0.0,0.0
31,14079.6,8,26518,west,13,0,0.0,0.0
60,28088.24,11,13942,west,42,0,0.0,0.0
48,16556.26,1,45027,west,30,0,0.0,0.0
65,15444.13,2,41246,west,47,0,0.0,0.0
38,17822.05,4,23456,east,20,0,0.0,0.0
23,16112.08,5,10890,west,5,2,256.22,512.44
27,16853.29,15,42698,east,9,1,1675.68,1675.68
62,13820.48,16,36773,east,44,0,0.0,0.0
54,11615.58,7,28905,east,36,1,905.42,905.42
50,23041.63,2,45062,west,32,1,1257.21,1257.21
59,54891.21,18,15210,north,41,0,0.0,0.0
48,5696.87,3,34196,west,30,0,0.0,0.0
41,12211.53,20,25404,north,23,0,0.0,0.0
41,12527.4,6,14215,south,23,0,0.0,0.0
25,14126.51,2,48685,west,7,0,0.0,0.0
56,19762.89,1,17997,west,38,0,0.0,0.0
32,31749.7,3,39295,west,14,1,1866.21,1866.21
20,10004.4,13,17101,west,2,0,0.0,0.0
39,10371.17,11,25529,north,21,1,294.41,294.41
44,36698.75,12,33886,central,26,0,0.0,0.0
44,15569.54,14,25144,west,26,1,582.66,582.66
69,12973.46,1,31645,east,51,0,0.0,0.0
51,23932.81,12,21187,north,33,0,0.0,0.0
56,42807.32,12,34968,central,38,0,0.0,0.0
65,30039.41,14,10924,south,47,0,0.0,0.0
35,33567.96,13,7913,south,17,0,0.0,0.0
58,29023.04,14,45038,central,40,0,0.0,0.0
32,21751.16,14,47281,east,14,0,0.0,0.0
31,21426.17,2,7391,west,13,0,0.0,0.0
47,15698.22,19,48311,south,29,3,234.32,702.96
42,15643.32,7,12866,central,24,0,0.0,0.0
64,29601.33,14,15165,west,46,1,765.54,765.54
35,9406.8,17,11220,central,17,0,0.0,0.0
34,17275.16,10,44515,east,16,0,0.0,0.0
37,18204.69,19,30120,east,19,1,2528.95,2528.95
23,10795.29,8,16902,south,5,0,0.0,0.0
23,8137.19,10,14188,south,5,0,0.0,0.0
42,15190.49,10,16779,east,24,0,0.0,0.0
66,26678.37,15,46393,south,48,0,0.0,0.0
27,19162.44,7,10063,central,9,0,0.0,0.0
44,8997.02,17,27977,south,26,0,0.0,0.0
63,13151.07,19,9064,east,45,0,0.0,0.0
31,10231.55,18,41656,west,13,0,0.0,0.0
33,27623.26,4,26487,west,15,0,0.0,0.0
56,10136.3,9,29338,west,38,0,0.0,0.0
45,16586.95,11,21951,central,27,0,0.0,0.0
31,12844.04,18,29984,south,13,0,0.0,0.0
41,22592.29,20,35578,central,23,0,0.0,0.0
49,13417.65,11,10284,south,31,1,707.92,707.92
61,19144.17,7,24793,north,43,0,0.0,0.0
37,70097.86,6,21486,south,19,0,0.0,0.0
29,11072.77,14,29589,west,11,0,0.0,0.0
48,9876.5,15,21640,east,30,0,0.0,0.0
65,29215.66,18,42451,south,47,0,0.0,0.0
53,19372.63,2,31091,east,35,0,0.0,0.0
49,14827.57,6,36271,south,31,1,668.48,668.48
23,33801.41,18,42263,north,5,0,0.0,0.0
34,10824.23,14,8099,north,16,0,0.0,0.0
31,17743.62,5,32519,south,13,0,0.0,0.0
44,12353.64,17,19791,north,26,0,0.0,0.0
60,34420.49,2,13460,east,42,1,898.79,898.79
51,13499.28,17,19015,west,33,0,0.0,0.0
56,45622.81,12,15243,south,38,0,0.0,0.0
58,26296.06,2,14847,west,40,0,0.0,0.0
65,30473.42,3,28924,central,47,0,0.0,0.0
29,10304.9,18,20726,west,11,0,0.0,0.0
35,34675.91,8,9046,east,17,1,789.14,789.14
44,16868.61,20,14284,south,26,1,1963.56,1963.56
37,9988.02,6,8357,west,19,2,421.81,843.62
47,10134.72,13,49247,central,29,0,0.0,0.0
45,5320.22,10,41618,east,27,0,0.0,0.0
42,39609.55,13,5166,west,24,1,2444.77,2444.77
32,25185.32,15,28540,south,14,1,427.16,427.16
25,12065.99,19,44491,east,7,1,401.85,401.85
32,23987.1,7,9744,north,14,1,895.29,895.29
31,28537.78,11,33820,central,13,0,0.0,0.0
35,25205.0,12,38384,south,17,1,701.93,701.93
38,25778.81,13,38329,south,20,0,0.0,0.0
40,40727.92,18,9029,north,22,0,0.0,0.0
29,18925.11,3,17826,north,11,0,0.0,0.0
38,28525.41,1,40652,west,20,0,0.0,0.0
45,23227.89,4,26995,north,27,0,0.0,0.0
38,13304.57,10,5835,west,20,0,0.0,0.0
42,9383.56,2,42997,central,24,0,0.0,0.0
55,34228.46,20,34483,south,37,0,0.0,0.0
58,6725.22,2,14409,north,40,0,0.0,0.0
45,42438.42,17,43223,central,27,0,0.0,0.0
50,50432.05,11,34660,north,32,0,0.0,0.0
32,21665.86,5,43633,central,14,0,0.0,0.0
50,4237.67,1,19817,west,32,0,0.0,0.0
33,27783.14,9,25271,west,15,0,0.0,0.0
46,29819.81,1,31681,west,28,0,0.0,0.0
74,15229.16,18,18094,east,56,1,731.06,731.06
55,6442.81,16,32429,north,37,0,0.0,0.0
63,20667.75,9,34736,central,45,0,0.0,0.0
69,41853.19,6,44883,east,51,1,950.13,950.13
44,24196.11,4,18171,east,26,0,0.0,0.0
53,27647.54,17,10190,south,35,0,0.0,0.0
31,16960.33,20,9980,west,13,0,0.0,0.0
51,37811.1,6,17356,west,33,0,0.0,0.0
39,17339.51,3,6069,central,21,0,0.0,0.0
25,22657.08,15,30650,east,7,0,0.0,0.0
56,18142.77,4,48635,central,38,0,0.0,0.0
65,24679.47,4,11160,west,47,1,1820.3,1820.3
38,14385.5,19,39741,west,20,1,441.35,441.35
36,16416.81,19,43971,south,18,0,0.0,0.0
52,12937.9,1,27839,central,34,0,0.0,0.0
64,16295.78,5,6280,central,46,0,0.0,0.0
25,31752.89,11,38522,north,7,1,820.5,820.5
34,28243.29,6,5691,west,16,0,0.0,0.0
53,9041.42,19,23056,east,35,0,0.0,0.0
31,10121.54,5,11995,east,13,1,901.61,901.61
41,18030.25,13,38883,east,23,0,0.0,0.0
26,12300.69,7,19023,west,8,0,0.0,0.0
52,6995.08,14,5332,south,34,0,0.0,0.0
39,11361.93,8,13212,east,21,0,0.0,0.0
43,18249.0,18,17994,west,25,0,0.0,0.0
38,14322.97,2,15849,north,20,0,0.0,0.0
35,23880.95,9,48818,west,17,2,1703.83,3407.66
55,27580.16,15,44183,west,37,0,0.0,0.0
51,21968.05,4,40062,west,33,0,0.0,0.0
27,19057.36,12,12778,south,9,0,0.0,0.0
57,13947.33,11,16544,north,39,0,0.0,0.0
22,14365.11,17,23124,west,4,2,489.71,979.42
52,15297.35,5,8004,west,34,0,0.0,0.0
36,14429.79,7,24819,east,18,0,0.0,0.0
27,14538.63,17,46689,west,9,1,350.18,350.18
35,36349.8,18,29468,north,17,1,1426.37,1426.37
37,22501.25,18,25312,south,19,0,0.0,0.0
41,24071.52,14,6241,north,23,0,0.0,0.0
49,13441.2,6,5671,east,31,0,0.0,0.0
33,10000.3,11,49562,east,15,1,612.81,612.81
39,23058.93,2,22192,north,21,0,0.0,0.0
45,15814.44,10,47356,north,27,0,0.0,0.0
26,23337.38,16,37154,south,8,0,0.0,0.0
61,15787.14,8,10942,central,43,0,0.0,0.0
50,16371.67,17,9603,east,32,0,0.0,0.0
50,11409.86,18,26545,south,32,0,0.0,0.0
23,7949.49,4,25016,central,5,1,769.26,769.26
22,15667.98,16,15804,south,4,0,0.0,0.0
67,31986.02,18,37759,north,49,0,0.0,0.0
30,23005.19,9,40193,central,12,0,0.0,0.0
46,5231.43,7,14178,east,28,1,1293.56,1293.56
37,12282.93,3,37125,east,19,0,0.0,0.0
59,5861.15,6,19361,central,41,1,2615.56,2615.56
61,22697.04,7,12962,west,43,0,0.0,0.0
46,17838.91,10,32697,south,28,0,0.0,0.0
61,14085.42,10,46465,west,43,0,0.0,0.0
59,23863.28,14,24044,central,41,0,0.0,0.0
25,16197.78,2,24686,south,7,0,0.0,0.0
45,13658.13,5,24501,west,27,0,0.0,0.0
34,29053.54,7,31129,central,16,0,0.0,0.0
28,42067.36,10,20607,north,10,1,398.8,398.8
51,19886.87,9,29301,south,33,0,0.0,0.0
43,14176.28,3,16520,east,25,0,0.0,0.0
53,42343.9,7,13009,north,35,0,0.0,0.0
23,43884.94,7,13238,west,5,0,0.0,0.0
45,26615.59,5,35420,east,27,0,0.0,0.0
66,29045.78,8,41295,central,48,1,371.61,371.61
40,8450.71,18,20023,east,22,1,1099.06,1099.06
44,12914.83,13,45547,west,26,0,0.0,0.0
24,11723.87,5,33612,central,6,0,0.0,0.0
45,19836.79,5,35419,east,27,0,0.0,0.0
24,8439.49,17,8103,east,6,0,0.0,0.0
57,16507.67,16,45821,south,39,0,0.0,0.0
41,14311.04,19,45163,north,23,0,0.0,0.0
32,9788.08,15,12784,west,14,1,1587.52,1587.52
69,12882.25,17,32727,south,51,2,509.0,1018.0
54,17116.69,8,21873,north,36,0,0.0,0.0
53,38036.65,12,6682,south,35,0,0.0,0.0
46,25032.21,5,49386,central,28,0,0.0,0.0
31,11479.17,13,19086,east,13,0,0.0,0.0
64,30354.69,18,8188,north,46,0,0.0,0.0
31,33806.62,18,47026,central,13,1,2238.17,2238.17
34,28340.19,8,7808,north,16,0,0.0,0.0
42,43627.21,14,22132,north,24,0,0.0,0.0
39,39116.47,10,6224,central,21,0,0.0,0.0
39,26780.35,15,41587,north,21,0,0.0,0.0
55,22448.67,2,45081,north,37,0,0.0,0.0
35,19940.21,1,9922,south,17,0,0.0,0.0
22,13122.41,3,14494,east,4,0,0.0,0.0
60,11057.06,8,15493,east,42,0,0.0,0.0
47,21234.31,4,9003,central,29,1,799.13,799.13
50,8562.94,20,45550,west,32,0,0.0,0.0
70,14740.47,6,30226,west,52,0,0.0,0.0
36,7564.15,14,39791,west,18,0,0.0,0.0
45,19517.53,4,26101,north,27,0,0.0,0.0
27,20486.24,6,9791,east,9,0,0.0,0.0
62,18865.7,19,19554,east,44,0,0.0,0.0
47,10742.46,2,47061,south,29,1,421.53,421.53
30,10550.62,9,40958,central,12,1,663.05,663.05
41,14819.07,18,12650,north,23,0,0.0,0.0
53,30295.04,15,46208,central,35,0,0.0,0.0
46,33049.02,11,32602,south,28,0,0.0,0.0
33,17187.29,5,26135,west,15,0,0.0,0.0
60,20988.24,4,30212,central,42,0,0.0,0.0
48,18284.53,5,32307,central,30,0,0.0,0.0
39,15637.91,4,27769,south,21,0,0.0,0.0
44,8705.37,6,16570,north,26,0,0.0,0.0
59,27098.42,7,20459,west,41,0,0.0,0.0
44,17539.85,8,43910,north,26,0,0.0,0.0
54,8932.99,13,40504,central,36,0,0.0,0.0
33,20828.42,18,22738,north,15,0,0.0,0.0
28,19769.29,13,43705,central,10,1,1373.13,1373.13
58,11694.34,7,31059,west,40,0,0.0,0.0
60,5665.24,1,9441,south,42,0,0.0,0.0
52,21855.99,14,35369,west,34,0,0.0,0.0
23,15567.57,12,33124,west,5,1,339.8,339.8
32,10214.76,14,9210,north,14,0,0.0,0.0
59,15491.52,3,42475,central,41,0,0.0,0.0
33,32076.73,8,16309,south,15,0,0.0,0.0
51,41398.85,13,44733,south,33,0,0.0,0.0
62,10789.61,6,22608,south,44,0,0.0,0.0
21,31033.79,5,18556,north,3,0,0.0,0.0
33,18258.35,2,21654,west,15,1,1059.86,1059.86
35,16297.65,14,49980,central,17,0,0.0,0.0
39,33493.0,10,48190,south,21,0,0.0,0.0
34,11491.76,11,12132,north,16,0,0.0,0.0
38,14366.93,12,21613,east,20,0,0.0,0.0
56,16309.1,18,30650,north,38,0,0.0,0.0
57,24352.26,15,45121,central,39,1,672.77,672.77
52,15724.04,4,41936,south,34,0,0.0,0.0
46,22351.4,13,42135,south,28,0,0.0,0.0
52,8483.93,14,17459,east,34,0,0.0,0.0
71,14850.66,5,17668,central,53,0,0.0,0.0
61,6462.45,9,41923,west,43,0,0.0,0.0
60,18852.2,13,37743,north,42,0,0.0,0.0
70,11239.65,11,48754,north,52,0,0.0,0.0
61,17436.94,7,23388,south,43,1,1412.8,1412.8
53,17179.4,4,6803,south,35,0,0.0,0.0
30,56672.51,16,8556,east,12,0,0.0,0.0
27,40016.25,8,10357,central,9,0,0.0,0.0
39,33078.01,12,17917,east,21,0,0.0,0.0
56,10936.97,12,32643,south,38,0,0.0,0.0
54,28843.11,7,26536,west,36,1,1498.86,1498.86
39,11971.21,19,34163,north,21,0,0.0,0.0
29,10127.09,12,41238,north,11,0,0.0,0.0
32,50151.78,17,10220,south,14,0,0.0,0.0
57,38844.98,14,41706,west,39,1,1012.14,1012.14
33,27554.59,12,42142,south,15,0,0.0,0.0
44,11416.76,20,15038,east,26,0,0.0,0.0
31,16939.85,3,42437,west,13,1,787.7,787.7
42,25648.38,11,27150,west,24,0,0.0,0.0
34,24496.27,16,10440,north,16,0,0.0,0.0
54,40161.37,19,27078,north,36,0,0.0,0.0
45,38159.59,2,14802,south,27,0,0.0,0.0
32,20575.59,19,9085,south,14,0,0.0,0.0
55,17915.09,20,48257,central,37,0,0.0,0.0
25,29658.8,8,36067,central,7,0,0.0,0.0
60,22538.86,5,37586,west,42,1,502.13,502.13
47,37200.8,10,21372,east,29,0,0.0,0.0
44,16474.39,8,32691,central,26,0,0.0,0.0
48,20086.9,19,40981,west,30,1,288.42,288.42
31,16459.08,20,25569,central,13,0,0.0,0.0
40,16730.61,19,33912,north,22,1,945.47,945.47
33,8386.51,17,47326,east,15,0,0.0,0.0
28,36686.2,3,25417,south,10,0,0.0,0.0
26,11346.94,3,35702,south,8,1,906.64,906.64
30,21313.13,18,22436,south,12,2,1269.13,2538.26
37,24104.12,11,29695,west,19,0,0.0,0.0
48,23548.96,14,44413,east,30,1,834.78,834.78
41,14987.09,10,15299,west,23,1,1415.95,1415.95
58,41818.75,14,16560,central,40,0,0.0,0.0
52,6884.17,14,32836,east,34,0,0.0,0.0
52,13268.08,4,49253,central,34,0,0.0,0.0
29,10386.95,17,42607,west,11,0,0.0,0.0
60,5597.66,6,32114,north,42,1,273.45,273.45
51,12111.59,1,41384,east,33,0,0.0,0.0
28,13290.36,9,30882,central,10,0,0.0,0.0
40,26420.29,1,40344,east,22,0,0.0,0.0
56,44188.26,1,24281,east,38,0,0.0,0.0
24,9699.93,13,37450,south,6,1,807.23,807.23
50,14743.26,15,15062,central,32,0,0.0,0.0
44,7035.09,6,9851,south,26,0,0.0,0.0
50,23728.4,1,10349,east,32,0,0.0,0.0
49,9682.82,15,6604,west,31,1,296.71,296.71
25,23496.99,5,33024,central,7,0,0.0,0.0
62,20031.61,12,35664,north,44,1,904.5,904.5
46,17938.75,10,17347,south,28,1,1176.78,1176.78
51,21991.63,8,31254,central,33,0,0.0,0.0
25,10167.34,18,18502,east,7,0,0.0,0.0
38,7988.99,18,29579,east,20,0,0.0,0.0
28,9153.96,18,25360,south,10,0,0.0,0.0
63,53510.15,13,32137,central,45,0,0.0,0.0
58,15691.81,18,12008,central,40,0,0.0,0.0
33,14976.56,1,20991,east,15,1,294.67,294.67
51,15020.65,20,48320,central,33,0,0.0,0.0
25,14242.38,1,33429,central,7,0,0.0,0.0
33,10534.17,17,27527,central,15,0,0.0,0.0
56,33709.81,5,38209,south,38,0,0.0,0.0
22,20265.88,14,33468,south,4,2,441.57,883.14
40,5769.27,17,31733,north,22,0,0.0,0.0
42,30302.69,9,45892,east,24,0,0.0,0.0
58,12160.2,4,14108,west,40,0,0.0,0.0
32,37700.28,1,12404,south,14,0,0.0,0.0
70,8009.54,6,42571,south,52,0,0.0,0.0
43,11836.25,16,15922,east,25,0,0.0,0.0
27,9682.96,16,30857,south,9,2,336.32,672.64
19,30552.16,12,40710,east,1,1,2178.33,2178.33
52,64968.56,5,48926,central,34,0,0.0,0.0
41,34049.64,17,22007,south,23,0,0.0,0.0
24,8592.61,15,41849,east,6,2,238.92,477.84
50,22953.35,19,41821,east,32,0,0.0,0.0
35,15239.42,16,33393,east,17,0,0.0,0.0
51,11497.18,12,12998,north,33,0,0.0,0.0
30,28216.79,4,8674,central,12,0,0.0,0.0
43,22366.01,15,19291,north,25,0,0.0,0.0
44,31125.68,8,5323,north,26,0,0.0,0.0
44,21169.85,19,43789,central,26,3,183.84,551.52
47,17014.21,16,11585,central,29,1,298.99,298.99
44,16051.31,3,21314,east,26,0,0.0,0.0
45,13552.86,19,47533,north,27,0,0.0,0.0
33,15918.38,17,15105,central,15,0,0.0,0.0
27,10800.52,3,38363,east,9,0,0.0,0.0
25,27647.28,2,44570,east,7,0,0.0,0.0
58,14530.08,12,18212,north,40,0,0.0,0.0
30,16317.23,8,30275,east,12,0,0.0,0.0
29,9364.41,16,49910,west,11,0,0.0,0.0
78,15738.45,4,39152,central,60,1,2202.3,2202.3
48,8968.23,15,32709,west,30,1,381.46,381.46
63,25275.96,17,35383,south,45,0,0.0,0.0
44,38715.65,6,43399,south,26,1,809.43,809.43
23,44720.87,3,46075,west,5,1,995.53,995.53
20,47155.0,19,44969,south,2,1,4325.23,4325.23
58,19380.79,17,8948,south,40,0,0.0,0.0
27,10408.71,2,9723,south,9,0,0.0,0.0
36,25580.07,5,35328,east,18,0,0.0,0.0
39,21979.61,17,32197,central,21,0,0.0,0.0
54,26175.29,16,27097,east,36,1,761.13,761.13
43,10662.59,4,26743,south,25,0,0.0,0.0
31,23391.58,4,23150,south,13,0,0.0,0.0
32,25242.36,12,5720,west,14,0,0.0,0.0
